FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,TAIL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2023-01-01,DL,2044,N658DL,BOS,TPA,640,644.0,4.0,950,958.0,8.0,0,,0,190,194.0,172.0,1425,0,0,0,0,0
2023-01-01,DL,1901,N658DL,TPA,SEA,1050,1057.0,7.0,1224,1247.0,23.0,0,,0,94,110.0,87.0,705,23,0,0,0,0
2023-01-01,DL,717,N658DL,SEA,CLT,1334,1331.0,-3.0,1548,1546.0,-2.0,0,,0,134,135.0,114.0,1005,0,0,0,0,0
2023-01-01,DL,2008,N658DL,CLT,PHL,1641,1639.0,-2.0,1942,1956.0,14.0,0,,0,181,197.0,173.0,1357,0,0,0,0,0
2023-01-01,DL,1540,N189DL,MIA,ATL,802,807.0,5.0,1033,1039.0,6.0,0,,0,151,152.0,129.0,1132,0,0,0,0,0
2023-01-01,DL,998,N189DL,ATL,DTW,1131,1145.0,14.0,1355,1418.0,23.0,0,,0,144,153.0,132.0,1080,23,0,0,0,0
2023-01-01,DL,622,N189DL,DTW,BOS,1508,1510.0,2.0,1902,1852.0,-10.0,0,,0,234,222.0,206.0,1755,0,0,0,0,0
2023-01-01,DL,1991,N189DL,BOS,CLT,1950,1945.0,-5.0,2151,2148.0,-3.0,0,,0,121,123.0,103.0,907,0,0,0,0,0
2023-01-01,DL,435,N704DL,SEA,MCO,747,744.0,-3.0,1102,1054.0,-8.0,0,,0,195,190.0,165.0,1462,0,0,0,0,0
2023-01-01,DL,264,N704DL,MCO,SLC,1141,1152.0,11.0,1303,1306.0,3.0,0,,0,82,74.0,56.0,615,0,0,0,0,0
2023-01-01,DL,2842,N704DL,SLC,MSP,1355,1401.0,6.0,1539,1538.0,-1.0,0,,0,104,97.0,73.0,780,0,0,0,0,0
2023-01-01,DL,205,N532DL,MCO,LGA,627,625.0,-2.0,901,859.0,-2.0,0,,0,154,154.0,136.0,1155,0,0,0,0,0
2023-01-01,DL,2928,N532DL,LGA,PHL,946,942.0,-4.0,1341,1352.0,11.0,0,,0,235,250.0,225.0,1762,0,0,0,0,0
2023-01-01,DL,1854,N132DL,ORD,PHL,728,725.0,-3.0,1132,1117.0,-15.0,0,,0,244,232.0,211.0,1830,0,0,0,0,0
2023-01-01,DL,1875,N132DL,PHL,DEN,1217,1220.0,3.0,1504,1459.0,-5.0,0,,0,167,159.0,138.0,1252,0,0,0,0,0
2023-01-01,DL,2237,N132DL,DEN,TPA,1549,1549.0,0.0,1950,2002.0,12.0,0,,0,241,253.0,231.0,1807,0,0,0,0,0
2023-01-01,DL,2526,N132DL,TPA,PHX,2101,2119.0,18.0,2324,2344.0,20.0,0,,0,143,145.0,127.0,1072,0,0,20,0,0
2023-01-01,DL,1477,N130DL,LGA,MIA,851,854.0,3.0,1013,1012.0,-1.0,0,,0,82,78.0,58.0,615,0,0,0,0,0
2023-01-01,DL,2972,N130DL,MIA,BWI,1105,1100.0,-5.0,1330,1315.0,-15.0,0,,0,145,135.0,117.0,1087,0,0,0,0,0
2023-01-01,DL,2374,N130DL,BWI,MSP,1413,1412.0,-1.0,1629,1630.0,1.0,0,,0,136,138.0,123.0,1020,0,0,0,0,0
2023-01-01,DL,1007,N130DL,MSP,MCO,1717,1723.0,6.0,2015,2025.0,10.0,0,,0,178,182.0,162.0,1335,0,0,0,0,0
2023-01-01,DL,2978,N195DL,FLL,EWR,724,733.0,9.0,1035,1038.0,3.0,0,,0,191,185.0,165.0,1432,0,0,0,0,0
2023-01-01,DL,2294,N195DL,EWR,TPA,1126,1138.0,12.0,1537,1601.0,24.0,0,,0,251,263.0,240.0,1882,0,0,24,0,0
2023-01-01,DL,895,N195DL,TPA,DEN,1655,1729.0,34.0,1925,1948.0,23.0,0,,0,150,139.0,124.0,1125,0,0,20,0,2
2023-01-01,DL,617,N195DL,DEN,IAD,2042,2046.0,4.0,40,41.0,1.0,0,,0,238,235.0,213.0,1785,0,0,0,0,0
2023-01-01,DL,1134,N323DL,LAS,ORD,647,701.0,14.0,1004,1027.0,23.0,0,,0,197,206.0,191.0,1477,0,0,23,0,0
2023-01-01,DL,2405,N323DL,ORD,LAX,1116,1134.0,18.0,1348,1419.0,31.0,0,,0,152,165.0,141.0,1140,0,0,29,0,1
2023-01-01,DL,1658,N323DL,LAX,FLL,1511,1516.0,5.0,1821,1823.0,2.0,0,,0,190,187.0,163.0,1425,0,0,0,0,0
2023-01-01,DL,2662,N338DL,IAD,JFK,625,625.0,0.0,834,839.0,5.0,0,,0,129,134.0,118.0,967,0,0,0,0,0
2023-01-01,DL,1773,N338DL,JFK,ATL,929,921.0,-8.0,1239,1226.0,-13.0,0,,0,190,185.0,166.0,1425,0,0,0,0,0
2023-01-01,DL,1959,N338DL,ATL,IAD,1320,1324.0,4.0,1453,1510.0,17.0,0,,0,93,106.0,81.0,697,0,0,17,0,0
2023-01-01,DL,570,N338DL,IAD,PHX,1601,1606.0,5.0,1935,1932.0,-3.0,0,,0,214,206.0,190.0,1605,0,0,0,0,0
2023-01-01,DL,2431,N617DL,MCO,TPA,832,828.0,-4.0,1100,1106.0,6.0,0,,0,148,158.0,137.0,1110,0,0,0,0,0
2023-01-01,DL,2311,N617DL,TPA,DTW,1159,1157.0,-2.0,1520,1529.0,9.0,0,,0,201,212.0,192.0,1507,0,0,0,0,0
2023-01-01,DL,2456,N716DL,DFW,SAN,658,700.0,2.0,1043,1059.0,16.0,0,,0,225,239.0,220.0,1687,0,0,16,0,0
2023-01-01,DL,2027,N716DL,SAN,LAX,1145,1203.0,18.0,1512,1533.0,21.0,0,,0,207,210.0,194.0,1552,0,0,21,0,0
2023-01-01,DL,2844,N127DL,PHX,LAS,725,728.0,3.0,906,927.0,21.0,0,,0,101,119.0,98.0,757,0,0,21,0,0
2023-01-01,DL,460,N127DL,LAS,MSP,1013,1014.0,1.0,1248,1304.0,16.0,0,,0,155,170.0,147.0,1162,0,0,0,0,16
2023-01-01,DL,2322,N127DL,MSP,SAN,1349,1350.0,1.0,1702,1715.0,13.0,0,,0,193,205.0,183.0,1447,0,0,0,0,0
2023-01-01,DL,636,N674DL,JFK,PHL,708,701.0,-7.0,936,917.0,-19.0,0,,0,148,136.0,111.0,1110,0,0,0,0,0
2023-01-01,DL,748,N674DL,PHL,IAD,1009,1002.0,-7.0,1243,1231.0,-12.0,0,,0,154,149.0,133.0,1155,0,0,0,0,0
2023-01-01,DL,1295,N303DL,BWI,MSP,639,638.0,-1.0,1004,1006.0,2.0,0,,0,205,208.0,190.0,1537,0,0,0,0,0
2023-01-01,DL,692,N303DL,MSP,PHL,1105,1108.0,3.0,1358,1417.0,19.0,0,,0,173,189.0,172.0,1297,0,0,19,0,0
2023-01-01,DL,2179,N833DL,TPA,LAS,746,747.0,1.0,1009,1016.0,7.0,0,,0,143,149.0,125.0,1072,0,0,0,0,0
2023-01-01,DL,1929,N833DL,LAS,CLT,1116,1215.0,59.0,1448,1604.0,76.0,0,,0,212,229.0,209.0,1590,0,0,76,0,0
2023-01-01,DL,1078,N833DL,CLT,IAD,1655,1850.0,115.0,2036,2244.0,128.0,0,,0,221,234.0,213.0,1657,0,0,74,0,53
2023-01-01,DL,251,N765DL,BWI,MSP,638,643.0,5.0,825,821.0,-4.0,0,,0,107,98.0,76.0,802,0,0,0,0,0
2023-01-01,DL,1971,N765DL,MSP,FLL,909,911.0,2.0,1027,1021.0,-6.0,0,,0,78,70.0,54.0,585,0,0,0,0,0
2023-01-01,DL,1486,N765DL,FLL,SEA,1121,1126.0,5.0,1515,1518.0,3.0,0,,0,234,232.0,207.0,1755,0,0,0,0,0
2023-01-01,DL,2667,N765DL,SEA,EWR,1615,1615.0,0.0,2033,2022.0,-11.0,0,,0,258,247.0,223.0,1935,0,0,0,0,0
2023-01-01,DL,1031,N818DL,BWI,MCO,855,928.0,33.0,1033,1108.0,35.0,0,,0,98,100.0,83.0,735,0,0,0,35,0
2023-01-01,DL,288,N818DL,MCO,ATL,1202,1211.0,9.0,1440,1441.0,1.0,0,,0,158,150.0,132.0,1185,0,0,0,0,0
2023-01-01,DL,817,N658DL,SLC,LAX,646,648.0,2.0,821,818.0,-3.0,0,,0,95,90.0,68.0,712,0,0,0,0,0
2023-01-01,DL,1988,N658DL,LAX,SEA,907,914.0,7.0,1305,1325.0,20.0,0,,0,238,251.0,229.0,1785,20,0,0,0,0
2023-01-01,DL,2338,N658DL,SEA,SAN,1419,1415.0,-4.0,1614,1618.0,4.0,0,,0,115,123.0,102.0,862,0,0,0,0,0
2023-01-01,DL,1337,N658DL,SAN,BOS,1711,1704.0,-7.0,1916,1904.0,-12.0,0,,0,125,120.0,99.0,937,0,0,0,0,0
2023-01-01,DL,189,N529DL,MCO,LAS,859,901.0,2.0,1302,1253.0,-9.0,0,,0,243,232.0,208.0,1822,0,0,0,0,0
2023-01-01,DL,1042,N529DL,LAS,MCO,1353,1416.0,23.0,1743,1802.0,19.0,0,,0,230,226.0,201.0,1725,19,0,0,0,0
2023-01-01,DL,497,N529DL,MCO,SLC,1851,1843.0,-8.0,2246,2244.0,-2.0,0,,0,235,241.0,221.0,1762,0,0,0,0,0
2023-01-01,DL,1801,N325DL,MCO,TPA,723,720.0,-3.0,922,923.0,1.0,0,,0,119,123.0,100.0,892,0,0,0,0,0
2023-01-01,DL,1152,N325DL,TPA,LAX,1016,1027.0,11.0,1334,1347.0,13.0,0,,0,198,200.0,184.0,1485,0,0,0,0,0
2023-01-01,DL,2382,N559DL,SLC,MIA,852,848.0,-4.0,1140,1141.0,1.0,0,,0,168,173.0,157.0,1260,0,0,0,0,0
2023-01-01,DL,2855,N559DL,MIA,EWR,1240,1242.0,2.0,1647,1707.0,20.0,0,,0,247,265.0,245.0,1852,0,0,20,0,0
2023-01-01,DL,2637,N703DL,SFO,ATL,800,802.0,2.0,1138,1130.0,-8.0,0,,0,218,208.0,183.0,1635,0,0,0,0,0
2023-01-01,DL,1337,N703DL,ATL,IAD,1229,1231.0,2.0,1630,1635.0,5.0,0,,0,241,244.0,228.0,1807,0,0,0,0,0
2023-01-01,DL,2301,N703DL,IAD,SFO,1723,1726.0,3.0,1912,1925.0,13.0,0,,0,109,119.0,96.0,817,0,0,0,0,0
2023-01-01,DL,732,N703DL,SFO,LGA,2023,2024.0,1.0,2324,2326.0,2.0,0,,0,181,182.0,163.0,1357,0,0,0,0,0
2023-01-01,DL,1921,N384DL,EWR,MSP,655,708.0,13.0,910,931.0,21.0,0,,0,135,143.0,123.0,1012,0,0,21,0,0
2023-01-01,DL,1230,N384DL,MSP,MIA,1017,1017.0,0.0,1220,1228.0,8.0,0,,0,123,131.0,107.0,922,0,0,0,0,0
2023-01-01,DL,1466,N384DL,MIA,ORD,1313,1308.0,-5.0,1530,1515.0,-15.0,0,,0,137,127.0,104.0,1027,0,0,0,0,0
2023-01-01,DL,984,N384DL,ORD,LGA,1606,1654.0,48.0,1820,1923.0,63.0,0,,0,134,149.0,132.0,1005,0,0,63,0,0
2023-01-01,AA,2807,N928AA,SEA,DEN,644,648.0,4.0,805,804.0,-1.0,0,,0,81,76.0,52.0,607,0,0,0,0,0
2023-01-01,AA,813,N928AA,DEN,ATL,859,859.0,0.0,1121,1112.0,-9.0,0,,0,142,133.0,117.0,1065,0,0,0,0,0
2023-01-01,AA,1582,N928AA,ATL,MSP,1212,1207.0,-5.0,1538,1551.0,13.0,0,,0,206,224.0,200.0,1545,0,0,0,0,0
2023-01-01,AA,2798,N928AA,MSP,TPA,1637,1629.0,-8.0,2005,1946.0,-19.0,0,,0,208,197.0,175.0,1560,0,0,0,0,0
2023-01-01,AA,1916,N990AA,SLC,MSP,627,632.0,5.0,800,757.0,-3.0,0,,0,93,85.0,66.0,697,0,0,0,0,0
2023-01-01,AA,2546,N990AA,MSP,MIA,852,850.0,-2.0,1222,1211.0,-11.0,0,,0,210,201.0,185.0,1575,0,0,0,0,0
2023-01-01,AA,1949,N990AA,MIA,BOS,1302,1300.0,-2.0,1515,1514.0,-1.0,0,,0,133,134.0,118.0,997,0,0,0,0,0
2023-01-01,AA,1633,N106AA,LAS,SEA,850,843.0,-7.0,1044,1051.0,7.0,0,,0,114,128.0,112.0,855,0,0,0,0,0
2023-01-01,AA,495,N106AA,SEA,BOS,1138,1139.0,1.0,1428,1447.0,19.0,0,,0,170,188.0,165.0,1275,0,0,19,0,0
2023-01-01,AA,600,N106AA,BOS,SAN,1542,1545.0,3.0,1842,1834.0,-8.0,0,,0,180,169.0,150.0,1350,0,0,0,0,0
2023-01-01,AA,971,N877AA,DEN,FLL,827,848.0,21.0,1021,1057.0,36.0,0,,0,114,129.0,106.0,855,36,0,0,0,0
2023-01-01,AA,1241,N877AA,FLL,DEN,1153,1205.0,12.0,1534,1600.0,26.0,0,,0,221,235.0,211.0,1657,0,0,0,0,26
2023-01-01,AA,2794,N877AA,DEN,BWI,1645,1658.0,13.0,2057,2109.0,12.0,0,,0,252,251.0,236.0,1890,0,0,0,0,0
2023-01-01,AA,385,N925AA,PHL,MIA,848,841.0,-7.0,1039,1043.0,4.0,0,,0,111,122.0,99.0,832,0,0,0,0,0
2023-01-01,AA,1819,N925AA,MIA,PHX,1134,1137.0,3.0,1445,1446.0,1.0,0,,0,191,189.0,165.0,1432,0,0,0,0,0
2023-01-01,AA,303,N263AA,CLT,BWI,640,638.0,-2.0,1047,1048.0,1.0,0,,0,247,250.0,226.0,1852,0,0,0,0,0
2023-01-01,AA,1218,N263AA,BWI,PHX,1147,1201.0,14.0,1357,1408.0,11.0,0,,0,130,127.0,102.0,975,0,0,0,0,0
2023-01-01,AA,1003,N814AA,SLC,ORD,718,733.0,15.0,1014,1047.0,33.0,0,,0,176,194.0,176.0,1320,33,0,0,0,0
2023-01-01,AA,1285,N814AA,ORD,MCO,1136,1133.0,-3.0,1414,1403.0,-11.0,0,,0,158,150.0,129.0,1185,0,0,0,0,0
2023-01-01,AA,2388,N814AA,MCO,FLL,1455,1459.0,4.0,1901,1853.0,-8.0,0,,0,246,234.0,212.0,1845,0,0,0,0,0
2023-01-01,AA,2458,N814AA,FLL,LAS,1940,1938.0,-2.0,2244,2239.0,-5.0,0,,0,184,181.0,165.0,1380,0,0,0,0,0
2023-01-01,AA,1984,N532AA,LAS,BWI,643,752.0,69.0,1054,1209.0,75.0,0,,0,251,257.0,236.0,1882,0,0,75,0,0
2023-01-01,AA,1370,N532AA,BWI,MIA,1256,1420.0,84.0,1537,1655.0,78.0,0,,0,161,155.0,135.0,1207,0,0,26,0,51
2023-01-01,AA,521,N448AA,BWI,SFO,637,733.0,56.0,829,937.0,68.0,0,,0,112,124.0,99.0,840,68,0,0,0,0
2023-01-01,AA,2672,N448AA,SFO,LAX,1024,1104.0,40.0,1345,1433.0,48.0,0,,0,201,209.0,184.0,1507,0,0,0,0,48
2023-01-01,AA,1394,N448AA,LAX,SLC,1528,1542.0,14.0,1721,1748.0,27.0,0,,0,113,126.0,107.0,847,0,0,0,0,27
2023-01-01,AA,2178,N448AA,SLC,EWR,1834,1919.0,45.0,2007,2049.0,42.0,0,,0,93,90.0,74.0,697,42,0,0,0,0
2023-01-01,AA,1995,N384AA,LGA,MIA,809,801.0,-8.0,1152,1146.0,-6.0,0,,0,223,225.0,201.0,1672,0,0,0,0,0
2023-01-01,AA,2578,N384AA,MIA,LAS,1237,1236.0,-1.0,1553,1543.0,-10.0,0,,0,196,187.0,167.0,1470,0,0,0,0,0
2023-01-01,AA,2746,N384AA,LAS,FLL,1630,1629.0,-1.0,1829,1832.0,3.0,0,,0,119,123.0,100.0,892,0,0,0,0,0
2023-01-01,AA,1627,N384AA,FLL,EWR,1922,1924.0,2.0,2149,2158.0,9.0,0,,0,147,154.0,139.0,1102,0,0,0,0,0
2023-01-01,AA,2878,N259AA,LAS,PHL,624,626.0,2.0,917,937.0,20.0,0,,0,173,191.0,167.0,1297,0,0,20,0,0
2023-01-01,AA,433,N259AA,PHL,LAS,1026,1044.0,18.0,1410,1420.0,10.0,0,,0,224,216.0,192.0,1680,0,0,0,0,0
2023-01-01,AA,1445,N320AA,FLL,SLC,736,739.0,3.0,923,935.0,12.0,0,,0,107,116.0,93.0,802,0,0,0,0,0
2023-01-01,AA,2846,N320AA,SLC,BWI,1022,1112.0,50.0,1325,1433.0,68.0,0,,0,183,201.0,183.0,1372,68,0,0,0,0
2023-01-01,AA,886,N320AA,BWI,MSP,1528,1618.0,50.0,1740,1842.0,62.0,0,,0,132,144.0,121.0,990,0,0,1,0,60
2023-01-01,AA,2546,N881AA,LAS,CLT,838,842.0,4.0,1129,1149.0,20.0,0,,0,171,187.0,170.0,1282,0,0,20,0,0
2023-01-01,AA,1782,N881AA,CLT,ORD,1248,1249.0,1.0,1536,1534.0,-2.0,0,,0,168,165.0,143.0,1260,0,0,0,0,0
2023-01-01,AA,1079,N881AA,ORD,PHL,1626,1631.0,5.0,1900,1859.0,-1.0,0,,0,154,148.0,128.0,1155,0,0,0,0,0
2023-01-01,AA,1254,N881AA,PHL,BOS,1958,1952.0,-6.0,2250,2258.0,8.0,0,,0,172,186.0,168.0,1290,0,0,0,0,0
2023-01-01,AA,1620,N444AA,ORD,DTW,844,844.0,0.0,1220,1235.0,15.0,0,,0,216,231.0,215.0,1620,0,0,15,0,0
2023-01-01,AA,756,N444AA,DTW,DFW,1329,1334.0,5.0,1553,1559.0,6.0,0,,0,144,145.0,129.0,1080,0,0,0,0,0
2023-01-01,AA,1531,N444AA,DFW,MSP,1651,1648.0,-3.0,1812,1804.0,-8.0,0,,0,81,76.0,55.0,607,0,0,0,0,0
2023-01-01,AA,505,N204AA,SFO,EWR,607,601.0,-6.0,1024,1007.0,-17.0,0,,0,257,246.0,227.0,1927,0,0,0,0,0
2023-01-01,AA,668,N204AA,EWR,IAD,1107,1100.0,-7.0,1522,1503.0,-19.0,0,,0,255,243.0,224.0,1912,0,0,0,0,0
2023-01-01,AA,2347,N204AA,IAD,CLT,1554,1554.0,0.0,1944,1941.0,-3.0,0,,0,230,227.0,211.0,1725,0,0,0,0,0
2023-01-01,AA,1972,N194AA,PHX,BWI,843,844.0,1.0,1014,1020.0,6.0,0,,0,91,96.0,81.0,682,0,0,0,0,0
2023-01-01,AA,688,N194AA,BWI,IAD,1112,1107.0,-5.0,1341,1342.0,1.0,0,,0,149,155.0,134.0,1117,0,0,0,0,0
2023-01-01,AA,1577,N489AA,SLC,DTW,621,625.0,4.0,753,801.0,8.0,0,,0,92,96.0,73.0,690,0,0,0,0,0
2023-01-01,AA,2025,N489AA,DTW,MIA,846,842.0,-4.0,1012,1019.0,7.0,0,,0,86,97.0,82.0,645,0,0,0,0,0
2023-01-01,AA,1512,N489AA,MIA,DFW,1115,1119.0,4.0,1331,1341.0,10.0,0,,0,136,142.0,122.0,1020,0,0,0,0,0
2023-01-01,AA,1543,N489AA,DFW,ORD,1430,1435.0,5.0,1804,1821.0,17.0,0,,0,214,226.0,201.0,1605,0,0,17,0,0
2023-01-01,AA,652,N199AA,MSP,LAX,841,833.0,-8.0,1012,1001.0,-11.0,0,,0,91,88.0,70.0,682,0,0,0,0,0
2023-01-01,AA,271,N199AA,LAX,SFO,1047,1052.0,5.0,1322,1332.0,10.0,0,,0,155,160.0,138.0,1162,0,0,0,0,0
2023-01-01,AA,2749,N199AA,SFO,ORD,1425,1417.0,-8.0,1628,1635.0,7.0,0,,0,123,138.0,113.0,922,0,0,0,0,0
2023-01-01,AA,609,N199AA,ORD,MCO,1730,1729.0,-1.0,2019,2034.0,15.0,0,,0,169,185.0,164.0,1267,0,0,15,0,0
2023-01-01,AA,1604,N467AA,MSP,DTW,857,904.0,7.0,1224,1232.0,8.0,0,,0,207,208.0,184.0,1552,0,0,0,0,0
2023-01-01,AA,1303,N467AA,DTW,PHL,1322,1331.0,9.0,1559,1610.0,11.0,0,,0,157,159.0,135.0,1177,0,0,0,0,0
2023-01-01,AA,1931,N967AA,SAN,EWR,753,754.0,1.0,918,920.0,2.0,0,,0,85,86.0,67.0,637,0,0,0,0,0
2023-01-01,AA,2849,N967AA,EWR,DFW,1006,1009.0,3.0,1404,1416.0,12.0,0,,0,238,247.0,230.0,1785,0,0,0,0,0
2023-01-01,AA,242,N452AA,LGA,BOS,853,850.0,-3.0,1040,1036.0,-4.0,0,,0,107,106.0,85.0,802,0,0,0,0,0
2023-01-01,AA,728,N452AA,BOS,BWI,1122,1121.0,-1.0,1530,1541.0,11.0,0,,0,248,260.0,244.0,1860,0,0,0,0,0
2023-01-01,AA,2760,N718AA,EWR,LAS,741,747.0,6.0,1007,1013.0,6.0,0,,0,146,146.0,123.0,1095,0,0,0,0,0
2023-01-01,AA,1166,N718AA,LAS,SEA,1101,1057.0,-4.0,1516,1522.0,6.0,0,,0,255,265.0,243.0,1912,0,0,0,0,0
2023-01-01,AA,655,N718AA,SEA,DEN,1613,1612.0,-1.0,1746,1735.0,-11.0,0,,0,93,83.0,58.0,697,0,0,0,0,0
2023-01-01,AA,1523,N718AA,DEN,SAN,1830,1826.0,-4.0,2246,2257.0,11.0,0,,0,256,271.0,254.0,1920,0,0,0,0,0
2023-01-01,AA,923,N370AA,DTW,DEN,657,654.0,-3.0,847,849.0,2.0,0,,0,110,115.0,91.0,825,0,0,0,0,0
2023-01-01,AA,2359,N370AA,DEN,MSP,945,1020.0,35.0,1133,1218.0,45.0,0,,0,108,118.0,96.0,810,45,0,0,0,0
